Ticket ID,Description,Urgency,Department
TICKET-001,Security vulnerability report,Low,Customer Service
TICKET-002,Security vulnerability report,Medium,Billing
TICKET-003,Network connectivity issues,Medium,Billing
TICKET-004,Unable to access account,High,Customer Service
TICKET-005,System crash during update,High,Billing
TICKET-006,System crash during update,High,Technical Support
TICKET-007,Request for data export,Medium,Customer Service
TICKET-008,Security vulnerability report,High,Customer Service
TICKET-009,Security vulnerability report,Medium,Billing
TICKET-010,Network connectivity issues,High,Customer Service
TICKET-011,Feature request for new update,Low,Billing
TICKET-012,Login issues after password change,Medium,Billing
TICKET-013,Security vulnerability report,Medium,Customer Service
TICKET-014,Request for data export,High,Billing
TICKET-015,Slow system performance,High,Billing
TICKET-016,Error in billing calculation,Low,Technical Support
TICKET-017,Bug in the mobile app,High,Technical Support
TICKET-018,Feature request for new update,High,Billing
TICKET-019,Unable to access account,Medium,Technical Support
TICKET-020,Login issues after password change,Low,Customer Service
TICKET-021,Payment gateway error,High,Billing
TICKET-022,Payment gateway error,Low,Technical Support
TICKET-023,Payment gateway error,High,Billing
TICKET-024,Security vulnerability report,High,Technical Support
TICKET-025,Payment gateway error,Low,Billing
TICKET-026,Feature request for new update,High,Technical Support
TICKET-027,Request for data export,Low,Billing
TICKET-028,Unable to access account,Medium,Technical Support
TICKET-029,Unable to access account,Low,Billing
TICKET-030,Feature request for new update,High,Billing
TICKET-031,Login issues after password change,Low,Billing
TICKET-032,Payment gateway error,Medium,Billing
TICKET-033,Payment gateway error,High,Technical Support
TICKET-034,Error in billing calculation,Low,Billing
TICKET-035,Error in billing calculation,Medium,Customer Service
TICKET-036,Payment gateway error,Medium,Customer Service
TICKET-037,Error in billing calculation,High,Customer Service
TICKET-038,Request for data export,Medium,Technical Support
TICKET-039,Login issues after password change,High,Technical Support
TICKET-040,Slow system performance,High,Technical Support
TICKET-041,Slow system performance,Medium,Customer Service
TICKET-042,Bug in the mobile app,High,Billing
TICKET-043,Network connectivity issues,Medium,Technical Support
TICKET-044,System crash during update,Low,Billing
TICKET-045,System crash during update,Medium,Billing
TICKET-046,Payment gateway error,Medium,Customer Service
TICKET-047,Feature request for new update,Low,Customer Service
TICKET-048,Network connectivity issues,Low,Technical Support
TICKET-049,Payment gateway error,Medium,Customer Service
TICKET-050,Login issues after password change,High,Technical Support
TICKET-051,Network connectivity issues,High,Technical Support
TICKET-052,System crash during update,Medium,Billing
TICKET-053,Feature request for new update,High,Customer Service
TICKET-054,Error in billing calculation,High,Billing
TICKET-055,Security vulnerability report,Medium,Billing
TICKET-056,Login issues after password change,Low,Billing
TICKET-057,Slow system performance,High,Technical Support
TICKET-058,Payment gateway error,Medium,Technical Support
TICKET-059,Login issues after password change,Medium,Billing
TICKET-060,Payment gateway error,Low,Customer Service
